,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate
277,Children of Men,2006,7.9,84.0,500677,35.55,109,"Action, Drama, Sci-Fi            ",R
278,The Count of Monte Cristo,2002,7.7,61.0,138801,54.23,131,"Action, Adventure, Drama            ",PG-13
279,Portrait of a Lady on Fire,2019,8.1,95.0,91384,3.76,122,"Drama, Romance            ",R
280,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68.0,789191,380.26,140,"Action, Adventure, Fantasy            ",PG-13
281,Amélie,2001,8.3,69.0,755056,33.23,122,"Comedy, Romance            ",R
282,Up,2009,8.3,88.0,1038942,293.0,96,"Animation, Adventure, Comedy            ",PG
283,Howl's Moving Castle,2004,8.2,80.0,393801,4.71,119,"Animation, Adventure, Family            ",PG
284,WALL·E,2008,8.4,95.0,1110216,223.81,98,"Animation, Adventure, Family            ",G
285,Warrior,2011,8.2,71.0,472164,13.66,140,"Action, Drama, Sport            ",PG-13
286,The Invisible Man,1933,7.6,87.0,36099,,71,"Horror, Sci-Fi            ",TV-PG
